name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
london,2020-01-01T00:00:00,5.6,3.8,3.1,84,,,,,,,8.6,139,1030.9,0,6.2,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T01:00:00,4.6,3,2.8,88.15,,,,,,,7.1,121,1030.7,0,3,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T02:00:00,4.5,3.3,2.7,87.54,,,,,,,5.7,111,1030.2,0.6,3.1,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T03:00:00,4.6,2.9,2.7,86.92,,,,,,,7.4,99,1030,0.7,4.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T04:00:00,4.5,2.7,2.9,88.76,,,,,,,7.9,109,1030,0.7,4.7,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T05:00:00,4.1,2.4,2.4,88.1,,,,,,,7.1,108,1030.1,0.7,4.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T06:00:00,3.6,1.4,1.7,87.42,0.2,,,,,,8,115,1029.8,0.7,5.5,,,0,,Rain,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T07:00:00,2.7,2.7,1.7,93.12,,,,,,,4.1,237,1029.9,0.7,5.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T08:00:00,3.5,3.5,2.8,95.16,,,,,,,1.8,350,1029.8,0.5,4.7,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T09:00:00,4.1,4.1,3.1,93.22,,,,,,,3.1,87,1030.2,0.7,4.9,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T10:00:00,5,5,3.6,90.69,,,,,,,3.6,115,1030.2,0.7,5.8,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T11:00:00,5.5,5.5,3.7,87.6,,,,,,,3.5,168,1030.4,0.7,5.5,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T12:00:00,6,5,3.7,84.64,,,,,,,5.7,252,1029.7,0.7,5.2,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T13:00:00,6,5.3,3.7,84.64,,,,,,,4.9,253,1029.2,0.7,5.5,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T14:00:00,6.1,6.1,4.1,87.04,,,,,,,3.9,203,1028.9,0.7,5.1,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T15:00:00,6.1,6.1,4.2,87.04,,,,,,,4.4,178,1028.6,0.7,5.7,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T16:00:00,6.1,6.1,4.2,87.04,,,,,,,2.8,147,1028.4,0.7,6.2,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T17:00:00,6.1,5.4,4.3,88.26,,,,,,,5,57,1028.8,0.7,8.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T18:00:00,6.5,6.5,4.4,85.88,,,,,,,4.7,165,1029.1,0.7,7.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T19:00:00,6.5,5.6,4.6,87.7,,,,,,,5.7,151,1028.9,0.7,6.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T20:00:00,6.6,5.4,4.6,87.11,,,,,,,6.8,163,1028.6,0.7,6.2,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T21:00:00,6.6,5.1,4.7,87.11,,,,,,,8.1,167,1028.1,0.7,7.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T22:00:00,6.6,5,5.1,89.56,,,,,,,8.2,175,1027.8,0.7,4.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-01T23:00:00,7,5.5,5.4,88.98,,,,,,,8.2,161,1027.4,0.6,3.8,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T00:00:00,7,5.4,5.6,90.84,,,,,,,8.7,173,1026.8,0.7,3.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T01:00:00,7,5.6,5.8,92.11,,,,,,,7.6,182,1026.1,0.5,4.1,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T02:00:00,7,5.6,5.7,90.85,,,,,,,7.7,173,1025.6,0.7,5.1,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T03:00:00,7.1,5.5,5.7,90.24,,,,,,,8.9,180,1025.1,0.6,6.6,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T04:00:00,7.1,4.9,5.7,90.23,,,,,,,11.8,170,1024.5,0.7,6.1,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T05:00:00,7.1,4.9,5.9,91.48,,,,,,,11.6,166,1023.9,0.7,7,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T06:00:00,7.5,5.7,6.1,90.87,0.2,,,,,,9.8,182,1023.4,0.7,8.1,,,0,,Rain,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2020-01-02T07:00:00,7.6,5.7,6.1,90.25,,,,,,,10.5,177,1022.9,0.7,12.8,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
