congestion;hour;day_nb;day;year
0,03;7;1;Sunday;2020
0,05;8;1;Sunday;2020
0,1;9;1;Sunday;2020
0,16;10;1;Sunday;2020
0,22;11;1;Sunday;2020
0,28;12;1;Sunday;2020
0,3;13;1;Sunday;2020
0,29;14;1;Sunday;2020
0,26;15;1;Sunday;2020
0,25;16;1;Sunday;2020
0,25;17;1;Sunday;2020
0,22;18;1;Sunday;2020
0,18;19;1;Sunday;2020
0,14;20;1;Sunday;2020
0,11;21;1;Sunday;2020
0,09;22;1;Sunday;2020
0,06;23;1;Sunday;2020
0,03;0;2;Monday;2020
0,01;1;2;Monday;2020
0;2;2;Monday;2020
0;3;2;Monday;2020
0;4;2;Monday;2020
0,01;5;2;Monday;2020
0,18;6;2;Monday;2020
0,4;7;2;Monday;2020
0,48;8;2;Monday;2020
0,33;9;2;Monday;2020
0,27;10;2;Monday;2020
0,28;11;2;Monday;2020
0,29;12;2;Monday;2020
0,3;13;2;Monday;2020
0,32;14;2;Monday;2020
0,4;15;2;Monday;2020
0,43;16;2;Monday;2020
0,45;17;2;Monday;2020
0,36;18;2;Monday;2020
0,23;19;2;Monday;2020
0,15;20;2;Monday;2020
0,11;21;2;Monday;2020
0,1;22;2;Monday;2020
0,06;23;2;Monday;2020
0,03;0;3;Tuesday;2020
0,01;1;3;Tuesday;2020
0,01;2;3;Tuesday;2020
0;3;3;Tuesday;2020
0;4;3;Tuesday;2020
0,01;5;3;Tuesday;2020
0,18;6;3;Tuesday;2020
0,42;7;3;Tuesday;2020
0,52;8;3;Tuesday;2020
0,37;9;3;Tuesday;2020
0,3;10;3;Tuesday;2020
0,29;11;3;Tuesday;2020
0,31;12;3;Tuesday;2020
0,31;13;3;Tuesday;2020
0,33;14;3;Tuesday;2020
0,42;15;3;Tuesday;2020
0,46;16;3;Tuesday;2020
0,49;17;3;Tuesday;2020
0,4;18;3;Tuesday;2020
0,27;19;3;Tuesday;2020
0,17;20;3;Tuesday;2020
0,13;21;3;Tuesday;2020
0,12;22;3;Tuesday;2020
0,08;23;3;Tuesday;2020
0,05;0;4;Wednesday;2020
0,05;1;4;Wednesday;2020
0,03;2;4;Wednesday;2020
0,02;3;4;Wednesday;2020
0,01;4;4;Wednesday;2020
0,02;5;4;Wednesday;2020
0,17;6;4;Wednesday;2020
0,4;7;4;Wednesday;2020
0,5;8;4;Wednesday;2020
0,35;9;4;Wednesday;2020
0,29;10;4;Wednesday;2020
0,3;11;4;Wednesday;2020
0,32;12;4;Wednesday;2020
0,32;13;4;Wednesday;2020
0,35;14;4;Wednesday;2020
0,44;15;4;Wednesday;2020
0,48;16;4;Wednesday;2020
0,52;17;4;Wednesday;2020
0,43;18;4;Wednesday;2020
0,28;19;4;Wednesday;2020
0,18;20;4;Wednesday;2020
0,14;21;4;Wednesday;2020
0,13;22;4;Wednesday;2020
0,09;23;4;Wednesday;2020
0,05;0;5;Thursday;2020
0,02;1;5;Thursday;2020
0,01;2;5;Thursday;2020
0;3;5;Thursday;2020
0;4;5;Thursday;2020
0,01;5;5;Thursday;2020
0,17;6;5;Thursday;2020
0,39;7;5;Thursday;2020
0,49;8;5;Thursday;2020
0,36;9;5;Thursday;2020
0,3;10;5;Thursday;2020
0,3;11;5;Thursday;2020
0,33;12;5;Thursday;2020
0,33;13;5;Thursday;2020
0,35;14;5;Thursday;2020
0,44;15;5;Thursday;2020
0,49;16;5;Thursday;2020
0,51;17;5;Thursday;2020
0,42;18;5;Thursday;2020
0,28;19;5;Thursday;2020
0,18;20;5;Thursday;2020
0,14;21;5;Thursday;2020
0,14;22;5;Thursday;2020
0,1;23;5;Thursday;2020
0,06;0;6;Friday;2020
0,03;1;6;Friday;2020
0,01;2;6;Friday;2020
0;3;6;Friday;2020
0;4;6;Friday;2020
0,01;5;6;Friday;2020
0,14;6;6;Friday;2020
0,33;7;6;Friday;2020
0,41;8;6;Friday;2020
0,31;9;6;Friday;2020
0,3;10;6;Friday;2020
0,33;11;6;Friday;2020
0,36;12;6;Friday;2020
0,37;13;6;Friday;2020
0,41;14;6;Friday;2020
0,51;15;6;Friday;2020
